cleaning,cleaned_x,predicted_sentiment
mahasiswa tanggal oktober turun tuntut adil jokowi gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,mahasiswa tanggal oktober turun tuntut adil jokowi gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
momen debar jelang pensiun jokowi spt acara usaha hapus bukti gibran tdk libat jejak fufufafa strategi hilang jejak tren istana baca thread lengkap,momen debar jelang pensiun jokowi spt acara usaha hapus bukti gibran tdk libat jejak fufufafa strategi hilang jejak tren istana baca thread lengkap,neutral
capres calon terus raja ngibul jt lapker dll presd ga ya janji prabowo gibran tambah gaji guru jtbl bangun jt rumah apartemen rakyat makan susu gratis misi visi citra gratis fasilitas negara,capres calon terus raja ngibul lapker dll presd janji prabowo gibran tambah gaji guru jtbl bangun rumah apartemen rakyat makan susu gratis misi visi citra gratis fasilitas negara,neutral
breaking news final resmi akun fufufafa gibran rakabuming alias tweet gak pake anak mulyono aman delik tangkap telak jejak digital akun fufufafa aku anak jokowi terimakasih andi arief,breaking news final resmi akun fufufafa gibran rakabuming alias tweet gak pake anak mulyono aman delik tangkap telak jejak digital akun fufufafa aku anak jokowi terimakasih andi arief,neutral
barkaca presidenpresiden nggak masuk adil amp penjara gtgt gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,barkaca presidenpresiden nggak masuk adil amp penjara gtgt gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
mahasiswa muak satria naufal koordinator pusat bem indonesia gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,mahasiswa muak satria naufal koordinator pusat bem indonesia gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
presiden pilih prabowo subianto bocor susun kabinet isi menteri era presiden joko widodo jokowi sampai acara bni investor daily summit,presiden pilih prabowo subianto bocor susun kabinet isi menteri era presiden joko widodo jokowi sampai acara bni investor daily summit,neutral
tweet jejak digital emang legend,tweet jejak digital emang legend,neutral
jelang senjakala kuasa sukses cawe pilpres menang gibran anak jokowi cawe pilkada pilkada maju september kuasa,jelang senjakala kuasa sukses cawe pilpres menang gibran anak jokowi cawe pilkada pilkada maju september kuasa,positive
engga peluang gibranjokowi engga sah atur adartnya partai golkar syarat penuh aktif terus anggota partai golkar sekurangkurangnya anggota partai politik orang,engga peluang gibranjokowi engga sah atur adartnya partai golkar syarat penuh aktif terus anggota partai golkar sekurangkurangnya anggota partai politik orang,positive
buah jatuh pohon indonesia dapet kualitas pimpin ya klen nilai ya skrg tambah kualitas wapresnya ya fufufafa bgst,buah jatuh pohon indonesia dapet kualitas pimpin klen nilai skrg tambah kualitas wapresnya fufufafa bgst,positive
garagara kaesang gibran jokowi negara diobrakabrik teman sahabat cinta orang waras orang tone deaf,garagara kaesang gibran jokowi negara diobrakabrik teman sahabat cinta orang waras orang tone deaf,positive
intip indah arsitektur masjid raya syeikh zayed solo besok resmi presiden jokowi putra mahkota uni emirat arab sheikh mohammed bin zayed al nahyan,intip indah arsitektur masjid raya syeikh zayed solo besok resmi presiden jokowi putra mahkota uni emirat arab sheikh mohammed bin zayed nahyan,positive
nggak bayang gimana caleg gerindra contoh ahmad dhani konstituen antijokowi suara lanjut bangun jokowi dukung gibran,nggak bayang gimana caleg gerindra contoh ahmad dhani konstituen antijokowi suara lanjut bangun jokowi dukung gibran,positive
perintah jokowi bijak ambil dorong kembang umkm salah satu mudah kredit izin gibran hots rp bisseck,perintah jokowi bijak ambil dorong kembang umkm salah satu mudah kredit izin gibran hots bisseck,positive
bobby tokoh nasional gibran wapres kaesang tum parpol jokowi anggap negarawan jurus prabowo bingkai patriot sejati konon soeharto gari pahlawan standar wajar bangsa padan iq rataratanya alias jongkok banget,bobby tokoh nasional gibran wapres kaesang tum parpol jokowi anggap negarawan jurus prabowo bingkai patriot sejati konon soeharto gari pahlawan standar wajar bangsa padan rataratanya alias jongkok banget,positive
just a reminder rakyat indonesia menang prabowogibran suka prabowo lanjut jokowi jokowi persepsi dukung ganjar ganjar prediksi menang jokowi dukung anies anies menang,just reminder rakyat indonesia menang prabowogibran suka prabowo lanjut jokowi jokowi persepsi dukung ganjar ganjar prediksi menang jokowi dukung anies anies menang,positive
gibran kaesang media darling wartawan suka liput berita tunggu masyarakat kyk jokowi dolo sma  kunjung gibran aja langsung jd trending topik buzzer spam taggar musuh bingung ga majikan usung,gibran kaesang media darling wartawan suka liput berita tunggu masyarakat kyk jokowi dolo sma kunjung gibran aja langsung trending topik buzzer spam taggar musuh bingung majikan usung,positive
momen lucu prabowo kenal wakil presiden pilih presiden jokowi mas gibran gegas salam rp,momen lucu prabowo kenal wakil presiden pilih presiden jokowi mas gibran gegas salam,positive
jd calon presiden periksa  nama test sehat lolos gak gibran lolos sehat sakit sehat gtgt jokowi hitung gibran ujung tanduk demo pekan youtube ilc,calon presiden periksa nama test sehat lolos gak gibran lolos sehat sakit sehat gtgt jokowi hitung gibran ujung tanduk demo pekan youtube ilc,positive
gaya gibran plek ketiplek jokowi keren lengkap konkret kosong melompong efektif kelabu orang,gaya gibran plek ketiplek jokowi keren lengkap konkret kosong melompong efektif kelabu orang,positive
prabowo gibran damping jokowi raya hut tni monas raya ulang hut tentara nasional indonesia tni monumen nasional monas jakarta raya presiden joko widodo jokowi inspektur upacara,prabowo gibran damping jokowi raya hut tni monas raya ulang hut tentara nasional indonesia tni monumen nasional monas jakarta raya presiden joko widodo jokowi inspektur upacara,positive
era pimpin presiden jokowi periode kenal emas bangun infrastruktur indonesia jokowi letak fondasi kuat cepat bangun sektor infrastruktur gibran hots rp bisseck,era pimpin presiden jokowi periode kenal emas bangun infrastruktur indonesia jokowi letak fondasi kuat cepat bangun sektor infrastruktur gibran hots bisseck,positive
sm lucas udah kaya jokowi gibran,lucas udah kaya jokowi gibran,positive
akhir th jabat rakyat tambah melarat putra tweet kerja wapres mudah menantu serta mapan jalan hidup,akhir jabat rakyat tambah melarat putra tweet kerja wapres mudah menantu serta mapan jalan hidup,positive
bawah pimpin presiden jokowi dorong programprogram tuju tingkat sejahtera masyarakat program kis kip bantu sosial bawa dampak positif signifikan gibran hots rp bisseck,bawah pimpin presiden jokowi dorong programprogram tuju tingkat sejahtera masyarakat program kis kip bantu sosial bawa dampak positif signifikan gibran hots bisseck,positive
ajak pilih pasang caprescawapres masyarakat coblos prabowogibran manifestasi lanjut jokowi golong masyarakat bodoh,ajak pilih pasang caprescawapres masyarakat coblos prabowogibran manifestasi lanjut jokowi golong masyarakat bodoh,positive
sungguh tarik anak mantu presiden jokowi jabat bikin bangga rakyat indonesia gibran wapres kaesang gubernur dki bobby gubernur sumut erina bupati sleman kahiyang walikota medan selvi walikota solo keren,sungguh tarik anak mantu presiden jokowi jabat bikin bangga rakyat indonesia gibran wapres kaesang gubernur dki bobby gubernur sumut erina bupati sleman kahiyang walikota medan selvi walikota solo keren,positive
marak spanduk terima kasih jokowi selamat prabowogibran amat emas emas,marak spanduk terima kasih jokowi selamat prabowogibran amat emas emas,positive
mulyono keluarga tweet kulit koran hong kong south china morning post politik dinasti nepotisme tabrak konstitusi laku ipar mk gratifikasi nikmat keluarga,mulyono keluarga tweet kulit koran hong kong south china morning post politik dinasti nepotisme tabrak konstitusi laku ipar gratifikasi nikmat keluarga,positive
buzzer ganjar lucu bikin narasi gibran lengser puan jd wapres prabowo akan musuh gibranpadahal kmrn hianati jokowi krn ga sudi presiden kyk prabowo cm jd wapres kmrn jokowi ajuin prabowoganjar tp tolak skrng,buzzer ganjar lucu bikin narasi gibran lengser puan wapres prabowo akan musuh gibranpadahal kmrn hianati jokowi krn sudi presiden kyk prabowo wapres kmrn jokowi ajuin prabowoganjar tolak skrng,positive
momen lucu bangga dinasti pilih rakyat sikap profesional mas tweet pa kenal wapresnya pd pa tpi jan ethes profesional ketemu ayah kakek,momen lucu bangga dinasti pilih rakyat sikap profesional mas tweet kenal wapresnya tpi jan ethes profesional ketemu ayah kakek,positive
edar info wag bhw akuisisi jokowi sdh selesai rapimnas plt tum agk selenggara munas bs ak sy munaslub tum bl waketum agk ketua hari bs wanbin jkwgibran selamat jk,edar info wag bhw akuisisi jokowi sdh selesai rapimnas plt tum agk selenggara munas munaslub tum waketum agk ketua hari wanbin jkwgibran selamat,positive
rawan jokowi tantang roy suryo bukti akun fufufafa milik gibran,rawan jokowi tantang roy suryo bukti akun fufufafa milik gibran,positive
berita gembira prosedur dlm ganti wapres sesuai uu  laku moga  bangsa sekian dn terima kasih,berita gembira prosedur dlm ganti wapres sesuai laku moga bangsa sekian terima kasih,positive
dukung ganjar mahfudnya negatif suka lihat pdip megawati kuasa dukung prabowo gibran orang percaya jokowi lanjut program negatif urus mk,dukung ganjar mahfudnya negatif suka lihat pdip megawati kuasa dukung prabowo gibran orang percaya jokowi lanjut program negatif urus,positive
alas kpu terima gibran cawapres surat jokowi,alas kpu terima gibran cawapres surat jokowi,positive
menang formal prabowogibran menang simbolik joko widodo jokowi is indeed the real king hes the most powerful man in the country,menang formal prabowogibran menang simbolik joko widodo jokowi indeed the real king hes the most powerful man the country,positive
jempol pencawapresan gibran negara iriana jokowi sutradara dorong gibran terus jokowi jengggg,jempol pencawapresan gibran negara iriana jokowi sutradara dorong gibran terus jokowi jengggg,positive
silaturahmi shering pasti baik bangsa tweet,silaturahmi shering pasti baik bangsa tweet,positive
jhon dungu tololl bgni otak empat sj dstu gibran blm dlantik kocak wajar jokowi maruf d dpan duduk krna status msih presiden prabowo sbagai menhan dongomuuu cokk,jhon dungu tololl bgni otak empat dstu gibran blm dlantik kocak wajar jokowi maruf dpan duduk krna status msih presiden prabowo sbagai menhan dongomuuu cokk,positive
ucap terima kasih ataa kepeminpinan presiden joko widodo kalang nusantara apresiasi banggan cinta jokowi ungkap ucap gibran hots rp bisseck,ucap terima kasih ataa kepeminpinan presiden joko widodo kalang nusantara apresiasi banggan cinta jokowi ungkap ucap gibran hots bisseck,positive
jokowi mohon dgn hormat mari selamat bangsa dgn paksa gibran cawapres biar juang waris  nilai indonesia lambat sisa negarawan mohon,jokowi mohon dgn hormat mari selamat bangsa dgn paksa gibran cawapres biar juang waris nilai indonesia lambat sisa negarawan mohon,positive
didu jokowi gibran  amanah gibran selesai walikota solo jokowi blm selesai gubernur dki ngaca narasi,didu jokowi gibran amanah gibran selesai walikota solo jokowi blm selesai gubernur dki ngaca narasi,positive
fufufafa gibran tumbal bangsa rakus jokowi,fufufafa gibran tumbal bangsa rakus jokowi,positive
kembang umkm perintah jokowi dukung bantu modal kur pasar umkm kelas gibran hots rp bisseck malming sterling,kembang umkm perintah jokowi dukung bantu modal kur pasar umkm kelas gibran hots bisseck malming sterling,positive
bayang betapa berat beban  jokowi kpd prof mhd hasan hrt memang lindung sukses gibran ya,bayang betapa berat beban jokowi kpd prof mhd hasan hrt memang lindung sukses gibran,positive
maju ekonomi indonesia hasil kerja keras hasil kerja keras dedikasi maju bangsa indonesia presiden jokowi apresiasi gibran hots rp bisseck,maju ekonomi indonesia hasil kerja keras hasil kerja keras dedikasi maju bangsa indonesia presiden jokowi apresiasi gibran hots bisseck,positive
manuver jokowi aman gibran jelang lengser kursi presiden jokowi tengara aman posisi gibran rakabuming raka wakil presiden pilih tolak lantik mekanisme tetap mpr simak lengkap program bocor alus politik channel,manuver jokowi aman gibran jelang lengser kursi presiden jokowi tengara aman posisi gibran rakabuming raka wakil presiden pilih tolak lantik mekanisme tetap mpr simak lengkap program bocor alus politik channel,positive
team khianat praboro khianat dukung setia gibran khianat kpd pdip bobby khianat pdip jokowi khianat bu mega anwar usman khianat kpd konstitusi budiman khianat aktivis buzzernya khianat,team khianat praboro khianat dukung setia gibran khianat kpd pdip bobby khianat pdip jokowi khianat mega anwar usman khianat kpd konstitusi budiman khianat aktivis buzzernya khianat,positive
amien rais mulyonojokowi presiden buruk milik bangsa indonesia oktober prabowo gibran apaapa lantik oktober gera rakyat jebol gibran si tolol si fufufafa penting seret mulyono,amien rais mulyonojokowi presiden buruk milik bangsa indonesia oktober prabowo gibran apaapa lantik oktober gera rakyat jebol gibran tolol fufufafa penting seret mulyono,positive
sri mulyani berkat fondasi kuat waris jokowi prabowogibran lanjut bangun,sri mulyani berkat fondasi kuat waris jokowi prabowogibran lanjut bangun,positive
jokowi ajak jan ethes jalan bareng prabowogibran hadir hut tni,jokowi ajak jan ethes jalan bareng prabowogibran hadir hut tni,positive
anak muda sempat dlm politik ttpi rintis karir politik dr proses  alami kapasitasampketerampilan pimpin tdk asah dgn tajam fenomena kaderisasi dlm partai politik,anak muda sempat dlm politik ttpi rintis karir politik proses alami kapasitasampketerampilan pimpin tdk asah dgn tajam fenomena kaderisasi dlm partai politik,positive
programprogram jokowi utk penting masyarakat adil program bantu sosial perintah upaya kurang senjang sosial cipta masyarakat adil gibran hots rp bisseck,programprogram jokowi utk penting masyarakat adil program bantu sosial perintah upaya kurang senjang sosial cipta masyarakat adil gibran hots bisseck,positive
terima kasih jokowi selamat tugas prabowo mas gibran,terima kasih jokowi selamat tugas prabowo mas gibran,positive
suka banget kompak prabowo mas gibran optimis pimpin negarawan beda generasi bawa indonesia maju sejahtera fondasi kuat letak jokowi sumber video,suka banget kompak prabowo mas gibran optimis pimpin negarawan beda generasi bawa indonesia maju sejahtera fondasi kuat letak jokowi sumber video,positive
sih jokowi banget jokowi sisi belah rakyat program sentuh langsung butuh rakyat gibran jokowi versi melenial ragu jokowi pasang banget,sih jokowi banget jokowi sisi belah rakyat program sentuh langsung butuh rakyat gibran jokowi versi melenial ragu jokowi pasang banget,positive
jokowi kian kentara dukung prabowogibran menang putar penyalahgunaan kuasa,jokowi kian kentara dukung prabowogibran menang putar penyalahgunaan kuasa,positive
presiden jokowi kerja nyata perintah jokowi bangun infrastruktur hasil tingkat tumbuh ekonomi mingkatkan sejahtera masyarakat indonesia gibran hots rp bisseck,presiden jokowi kerja nyata perintah jokowi bangun infrastruktur hasil tingkat tumbuh ekonomi mingkatkan sejahtera masyarakat indonesia gibran hots bisseck,positive
pakar hukum tata negara bukti jokowi salahgunakan wewenang penting gibran,pakar hukum tata negara bukti jokowi salahgunakan wewenang penting gibran,positive
batalin pilgub dki buangbuang apbn pimpin terus pilgub nya dualisme pimpin,batalin pilgub dki buangbuang apbn pimpin terus pilgub nya dualisme pimpin,positive
matahari pagi moga rezeki sungai al tsar umur baik emak amphilma yatimberjualan reqal alquran sajadah kiswah motif kain kabah gempa baim paula miftah vina diddy vadel agus arhan jokowi fufufafa marissa haque gibran raffi,matahari pagi moga rezeki sungai tsar umur baik emak amphilma yatimberjualan reqal alquran sajadah kiswah motif kain kabah gempa baim paula miftah vina diddy vadel agus arhan jokowi fufufafa marissa haque gibran raffi,positive
kerja nyata perintah jokowi bangun infrastruktur perata bangun daerah tuk tingkat ekonomi masyarakat gibran hots rp bisseck malming sterling,kerja nyata perintah jokowi bangun infrastruktur perata bangun daerah tuk tingkat ekonomi masyarakat gibran hots bisseck malming sterling,positive
gibran raka mantap kuasa sangkut etik kemarin trah jokowi kerja cak imin belibet tegang banget bossku napas mahfud dasar alam,gibran raka mantap kuasa sangkut etik kemarin trah jokowi kerja cak imin belibet tegang banget bossku napas mahfud dasar alam,positive
anies hebat pas jubir jokowi dolo mas tweet ga kerja anies jd jubirnya pas udah jd wapres selagi free transfer alias ngangur sayang bakat anies siasiakan jd anggur gin takut omonomon lukis,anies hebat pas jubir jokowi dolo mas tweet kerja anies jubirnya pas udah wapres selagi free transfer alias ngangur sayang bakat anies siasiakan anggur gin takut omonomon lukis,positive
berkat kerja keras presiden jokowi jajar ekonomi indonesia tangguh tantang global gibran hots rp bisseck,berkat kerja keras presiden jokowi jajar ekonomi indonesia tangguh tantang global gibran hots bisseck,positive
gibran cawapres boneka cawapres pamer gagas pamer pertamatama salut gibran berani sikap lumrah cawapres pamer ideide gagas gibran bangga pamer,gibran cawapres boneka cawapres pamer gagas pamer pertamatama salut gibran berani sikap lumrah cawapres pamer ideide gagas gibran bangga pamer,positive
prabowogibran presiden jokowi wakil presiden ma ruf amin hadir hut tentara nasional indonesia moga tni jaya sejahtera merdeka,prabowogibran presiden jokowi wakil presiden ruf amin hadir hut tentara nasional indonesia moga tni jaya sejahtera merdeka,positive
jokowi cemad gibran acuh gibran dicuekin prabowo mulyono lirik,jokowi cemad gibran acuh gibran dicuekin prabowo mulyono lirik,positive
ya  pilih gibran mah kayak berani ato serakah hahahahha lindung penting lha gibran ngelola usaha rugi bisnis gibran gulung tikar daftar,pilih gibran mah kayak berani ato serakah hahahahha lindung penting lha gibran ngelola usaha rugi bisnis gibran gulung tikar daftar,positive
sikap amp tegas pimpin sama gibran dgn jokowi  beda galak bagus krn gibran sendiri dlm ekspres kasar relatif ya,sikap amp tegas pimpin sama gibran dgn jokowi beda galak bagus krn gibran sendiri dlm ekspres kasar relatif,positive
yes dukung bijak cepat kembang sektor riil daya umkm perintah jokowi mudah kredit usaha rakyat kur proses izin mudah gratis gibran hots rp bisseck,yes dukung bijak cepat kembang sektor riil daya umkm perintah jokowi mudah kredit usaha rakyat kur proses izin mudah gratis gibran hots bisseck,positive
 hina anak cucu suharto bukti fufufafa gibran ga gibran rakabuming neraka jokowi keluarga jilat lu ded karma hukum orang  bejad moral,hina anak cucu suharto bukti fufufafa gibran gibran rakabuming neraka jokowi keluarga jilat ded karma hukum orang bejad moral,positive
